25,30,10,22,51,7,24,2,56,32,21,,,
57,19,9,55,44,16,13,23,26,28,47,,,
8,37,29,34,3,33,50,46,6,49,43,,,
20,12,14,0,27,18,11,54,35,48,39,,,
45,1,31,42,41,4,15,17,52,40,38,5.0,53.0,36.0
21,35,43,24,39,53,56,11,31,12,5,,,
49,6,57,33,20,38,13,17,1,50,14,,,
30,46,44,42,29,28,54,37,10,2,32,,,
8,19,27,36,55,3,9,22,40,48,26,,,
7,23,34,47,25,4,0,15,18,41,51,45.0,16.0,52.0
46,15,29,14,2,49,13,45,36,30,44,,,
7,47,38,27,31,25,35,24,21,28,16,,,
0,3,51,48,5,53,11,42,23,52,20,,,
39,33,41,17,4,1,18,56,54,22,6,,,
37,9,34,40,10,12,8,50,57,55,43,32.0,19.0,26.0
17,6,45,34,14,5,57,38,40,7,39,,,
8,44,3,25,19,47,4,12,22,41,53,,,
20,46,42,24,23,15,1,9,48,0,29,,,
21,52,56,26,54,28,2,33,30,37,13,,,
31,49,11,18,50,32,51,16,27,35,36,43.0,10.0,55.0
13,2,25,16,19,40,5,24,41,20,23,,,
33,34,52,28,1,10,12,57,26,0,47,,,
6,22,55,35,3,46,53,38,50,29,54,,,
14,17,31,56,11,4,49,32,39,44,37,,,
8,43,27,36,15,30,21,48,51,18,9,7.0,42.0,45.0
36,37,46,17,23,10,4,44,56,6,1,,,
35,50,19,49,2,52,42,20,11,41,51,,,
8,28,40,22,53,48,0,18,15,45,39,,,
12,32,43,13,24,34,5,47,38,9,31,,,
26,54,30,16,7,21,25,33,29,57,14,27.0,3.0,55.0
26,16,0,28,20,46,8,23,56,38,52,,,
50,32,44,34,31,19,45,35,54,30,27,,,
39,29,51,53,22,14,17,47,10,55,43,,,
25,2,18,57,40,13,37,9,1,6,21,,,
5,15,49,4,12,33,11,36,7,3,42,48.0,24.0,41.0
48,0,1,22,26,40,5,43,13,38,7,,,
55,6,23,10,8,44,47,57,25,15,54,,,
20,24,14,34,39,28,42,45,41,12,16,,,
11,52,56,18,46,2,31,17,29,9,37,,,
30,50,49,4,51,19,53,27,3,33,35,36.0,21.0,32.0
4,51,17,18,10,13,21,33,30,1,56,,,
53,0,50,12,44,26,40,35,29,15,47,,,
25,36,8,55,27,11,3,43,2,5,28,,,
52,24,37,23,45,20,14,16,57,19,42,,,
38,48,49,7,34,9,32,31,6,41,46,39.0,22.0,54.0
10,3,30,40,57,44,8,24,43,5,13,,,
56,9,26,51,37,21,20,39,28,31,25,,,
35,22,23,12,6,1,0,33,4,18,45,,,
27,7,49,11,14,36,16,54,32,17,47,,,
42,41,19,53,34,29,2,38,46,52,48,15.0,50.0,55.0
