2,30,23,16,13,28,9,46,33,37,
47,7,34,19,44,32,8,22,29,45,
26,43,24,6,42,48,20,10,25,12,
21,3,14,49,27,18,11,35,39,1,
31,41,4,15,17,40,38,5,36,50,0.0
29,20,32,28,14,17,35,11,1,13,
46,33,21,24,48,31,30,50,42,10,
2,44,8,6,19,38,5,27,40,37,
36,3,9,22,39,47,7,23,34,25,
4,0,15,18,41,45,16,26,12,43,49.0
37,30,15,24,16,23,2,27,28,13,
40,7,33,14,0,21,3,29,39,42,
35,11,20,44,31,5,25,38,17,49,
4,1,18,48,36,22,6,50,34,10,
12,8,47,45,43,32,19,26,46,41,9.0
19,30,6,45,24,26,3,34,25,15,
28,9,14,0,47,50,22,23,40,44,
29,12,8,4,2,41,17,20,48,42,
5,13,31,49,11,18,38,32,39,16,
27,35,36,43,10,21,1,33,46,37,7.0
25,16,26,23,2,28,49,20,13,41,
1,10,12,19,5,35,22,0,29,50,
46,24,3,44,34,43,48,14,17,31,
33,40,11,4,47,32,38,37,8,27,
36,15,30,21,18,9,7,42,45,39,6.0
41,28,42,37,4,34,10,19,35,38,
20,49,18,23,31,24,17,12,0,8,
47,22,13,2,5,32,15,6,9,26,
39,46,16,50,21,25,33,29,40,14,
27,48,1,3,43,11,30,45,44,36,7.0
31,23,19,17,40,0,30,14,42,43,
28,38,47,20,46,45,39,2,26,25,
13,8,10,32,16,9,48,6,27,50,
29,34,5,15,37,4,12,33,49,36,
7,3,24,44,41,22,35,18,1,11,21.0
30,6,43,24,45,8,49,46,14,29,
42,20,48,26,44,13,12,16,15,11,
37,22,18,31,2,17,9,5,25,39,
1,34,4,40,19,38,27,3,33,47,
36,21,32,28,50,7,0,35,41,10,23.0
17,23,1,43,0,15,13,29,21,33,
8,12,11,39,3,40,5,30,28,47,
46,20,14,24,26,35,16,44,19,10,
42,41,34,49,9,32,48,6,22,45,
18,2,37,4,27,50,25,36,31,7,38.0
8,3,26,46,10,30,21,43,5,47,
42,9,23,36,20,33,37,35,25,31,
22,24,12,6,1,28,4,18,0,48,
49,41,11,14,16,40,32,17,39,19,
50,29,2,38,15,7,13,44,27,45,34.0
