54,29,63,55,57,76,7,25,6,49,28,9,5,15,70,80,33,
18,61,51,66,37,4,47,60,12,65,64,53,39,26,56,31,45,
8,44,81,85,79,67,24,30,13,52,78,19,38,74,32,16,68,
11,40,72,22,75,82,1,71,41,14,27,83,17,20,46,35,62,
2,59,23,58,43,10,84,73,21,77,42,3,48,34,36,50,0,69.0
9,3,25,50,35,54,69,19,37,64,8,38,11,83,4,27,14,
26,29,71,0,42,51,79,53,40,48,66,74,31,16,46,56,62,
5,15,61,47,84,22,49,55,58,34,39,63,44,81,33,18,59,
41,80,1,12,32,73,28,65,24,67,82,17,60,23,10,13,57,
68,45,85,36,30,20,43,78,72,7,75,21,76,2,70,52,6,77.0
12,23,42,25,61,13,35,69,51,45,72,3,6,4,64,10,41,
2,29,75,33,82,38,60,5,48,84,44,52,24,68,57,8,67,
19,77,34,83,85,47,31,73,14,54,79,71,32,56,65,78,1,
18,66,7,9,50,46,11,36,28,53,58,81,62,0,27,49,76,
22,20,63,39,26,30,15,17,59,37,74,70,40,80,43,21,55,16.0
62,21,63,15,25,83,42,30,49,51,6,78,37,3,70,57,64,
40,69,34,61,53,85,80,47,73,77,4,54,41,13,0,38,58,
31,66,5,26,82,36,72,12,14,24,46,59,8,75,27,71,56,
84,79,81,7,43,28,22,17,20,67,23,2,18,1,52,45,35,
65,50,39,16,19,74,44,68,76,10,11,55,60,33,9,48,32,29.0
14,32,26,36,41,58,12,18,45,47,73,28,84,29,24,65,25,
21,64,5,49,19,11,37,44,61,6,48,2,34,50,79,51,72,
52,71,16,20,56,76,74,1,30,35,83,42,46,63,23,57,55,
85,38,7,77,69,10,0,13,15,66,43,60,33,27,81,22,80,
67,82,70,54,39,4,3,59,62,68,53,9,78,17,40,31,8,75.0
42,16,3,61,53,43,83,40,84,11,24,64,56,50,85,38,21,
25,26,68,28,34,48,39,63,62,77,23,76,1,27,17,33,65,
47,82,55,66,78,54,57,45,59,12,7,46,8,0,19,2,14,
30,9,6,67,15,31,10,71,74,41,36,51,79,4,73,58,81,
80,18,13,32,72,49,20,35,70,29,60,69,52,22,5,75,37,44.0
72,53,66,29,19,11,67,21,14,6,30,47,9,4,51,49,2,
84,81,25,61,57,82,0,38,64,10,35,41,52,8,3,5,73,
65,62,54,26,43,79,80,85,37,27,59,22,23,48,77,71,32,
18,15,68,45,12,42,16,56,39,13,40,31,83,75,7,17,1,
44,63,46,55,76,34,69,50,28,70,20,58,74,78,60,24,36,33.0
51,16,53,25,70,18,76,10,20,74,45,85,2,14,60,66,31,
83,65,84,13,58,33,75,19,30,32,47,36,1,24,55,11,78,
27,82,67,23,9,37,28,69,62,56,15,5,17,64,68,61,49,
46,42,57,40,6,80,34,22,0,26,71,63,41,52,7,44,21,
38,79,8,73,12,29,3,39,50,77,81,54,72,43,4,48,35,59.0
37,27,9,53,54,49,1,23,78,79,56,4,69,47,20,42,82,
17,36,18,3,64,38,51,25,26,57,30,50,31,52,63,62,48,
13,74,68,40,81,61,85,73,70,0,44,77,29,35,21,67,12,
22,60,65,34,8,71,7,84,2,45,33,10,59,16,41,32,83,
76,43,58,80,15,39,14,55,72,46,11,75,19,66,5,28,6,24.0
13,80,61,68,44,32,17,69,39,12,38,79,5,75,53,54,59,
63,27,28,15,50,6,78,14,30,37,26,67,31,46,51,73,4,
3,9,85,2,25,21,19,52,56,60,8,49,71,20,72,43,65,
55,36,23,81,34,70,35,58,47,83,45,0,42,7,40,24,84,
62,29,77,10,18,74,48,66,41,22,11,76,57,16,82,33,1,64.0
