18,16,10,,,,
2,17,13,,,,
11,0,3,,,,
4,12,15,,,,
9,5,1,8.0,14.0,7.0,6.0
14,5,3,,,,
15,8,0,,,,
6,16,1,,,,
9,17,7,,,,
4,2,13,12.0,10.0,11.0,18.0
8,18,13,,,,
9,0,12,,,,
14,2,1,,,,
15,17,16,,,,
11,10,4,6.0,3.0,7.0,5.0
4,9,7,,,,
6,18,0,,,,
15,11,13,,,,
8,5,10,,,,
3,1,12,16.0,2.0,17.0,14.0
15,4,17,,,,
12,1,16,,,,
13,18,2,,,,
8,11,6,,,,
9,14,5,7.0,0.0,3.0,10.0
10,0,3,,,,
5,8,18,,,,
14,9,2,,,,
6,4,1,,,,
15,13,12,11.0,16.0,7.0,17.0
7,16,8,,,,
3,13,0,,,,
14,10,4,,,,
1,12,17,,,,
11,18,6,9.0,15.0,5.0,2.0
17,3,10,,,,
18,4,1,,,,
16,2,9,,,,
0,14,7,,,,
13,8,5,15.0,12.0,6.0,11.0
10,0,18,,,,
16,1,17,,,,
11,7,12,,,,
5,4,3,,,,
9,8,13,6.0,14.0,2.0,15.0
12,5,7,,,,
13,3,4,,,,
0,2,17,,,,
18,14,10,,,,
11,15,1,8.0,16.0,9.0,6.0
