32,10,24,7,23,56,34,19,26,2,47,45,
54,46,21,9,58,16,13,22,28,25,30,43,
8,29,49,60,3,37,59,33,6,55,50,20,
12,44,14,0,27,18,11,57,35,51,39,48,
1,31,42,41,4,15,17,52,40,38,5,53,36.0
28,44,56,12,21,43,30,58,35,38,24,11,
2,60,5,53,6,20,29,42,13,17,1,54,
14,33,57,48,46,50,31,55,59,10,32,8,
19,37,27,36,49,39,3,9,22,40,52,26,
7,23,34,47,25,4,0,15,18,41,51,45,16.0
35,15,24,14,2,52,13,48,39,25,54,7,
57,41,29,28,27,38,36,56,30,31,21,16,
0,3,53,51,5,49,11,45,23,55,20,42,
33,47,44,17,4,1,18,59,46,22,6,37,
9,34,40,10,12,8,50,60,58,43,32,19,26.0
45,22,6,25,49,58,5,14,42,40,7,41,
8,0,3,38,17,19,4,12,34,46,44,20,
48,56,24,23,15,1,9,51,47,29,21,60,
39,59,26,57,28,2,33,30,37,13,31,52,
11,18,50,53,32,54,16,27,35,36,43,10,55.0
40,5,38,18,49,20,24,2,16,19,52,34,
23,25,33,29,7,42,26,0,13,54,28,45,
1,47,10,12,22,56,58,35,46,6,41,3,
44,9,14,17,31,59,57,11,4,60,32,39,
50,37,8,43,27,36,15,30,21,48,51,53,55.0
37,47,60,10,41,52,23,39,19,2,53,40,
17,4,59,6,15,1,20,45,28,11,35,36,
8,44,43,56,22,54,51,0,18,49,48,42,
12,32,46,13,24,34,5,50,38,9,31,26,
57,30,16,7,21,25,33,29,58,14,27,3,55.0
23,16,0,30,34,26,8,24,35,41,58,56,
28,49,57,51,19,53,43,46,20,10,31,39,
32,38,59,22,27,14,17,29,52,54,48,25,
2,18,45,44,13,40,60,37,9,1,6,21,
47,5,15,55,4,50,12,33,11,36,7,3,42.0
51,60,49,36,55,50,52,40,0,44,34,5,
10,1,24,42,47,25,6,57,28,56,39,38,
7,48,13,23,35,45,22,32,26,8,59,15,
20,14,46,43,54,41,53,12,16,11,3,21,
18,58,2,31,17,29,9,37,30,33,19,4,27.0
4,33,25,12,36,13,21,40,35,53,1,10,
18,17,44,0,30,59,37,43,26,60,15,50,
27,47,8,57,29,11,3,45,2,5,28,55,
24,58,23,48,20,56,14,16,49,19,42,38,
51,52,7,34,9,32,31,6,41,46,39,22,54.0
8,25,4,3,21,40,44,10,13,20,5,39,
53,9,37,54,58,24,45,47,31,33,26,28,
49,30,22,23,12,6,1,0,35,18,43,27,
7,56,11,14,36,16,51,32,17,57,42,41,
19,60,34,59,29,2,38,46,52,48,15,50,55.0
