17,34,6,15,55,36,88,82,57,89,100,59,127,51,97,106,22,50,63,0,104,8,5,81,101,73,53,
12,113,122,48,64,7,110,91,78,84,58,118,45,49,130,9,39,69,68,114,111,46,23,93,129,27,124,
62,47,28,37,65,99,10,20,76,74,87,43,90,35,123,103,92,44,1,132,102,54,117,18,41,79,105,
121,71,119,31,85,70,134,33,83,120,60,135,25,21,29,126,16,56,75,133,86,11,109,4,96,14,61,
108,67,52,66,26,116,95,131,72,40,112,13,107,98,94,3,2,125,24,30,77,115,42,19,38,128,32,80.0
12,38,118,50,52,126,58,88,99,57,95,1,74,64,94,23,119,78,76,37,4,105,113,62,100,128,3,
7,114,11,26,34,39,131,27,51,117,44,123,91,68,41,90,111,60,79,92,65,72,8,108,30,106,31,
18,73,32,121,135,19,116,2,33,127,85,35,63,29,0,46,87,67,75,28,16,45,81,80,47,49,93,
40,102,36,69,110,124,125,9,24,120,59,104,77,6,43,109,112,14,25,83,107,21,89,56,61,55,129,
133,84,53,134,13,101,22,122,20,42,17,5,15,54,48,132,71,66,70,86,82,96,10,98,103,130,97,115.0
106,84,120,54,3,90,85,102,124,60,93,89,104,65,130,103,30,87,10,118,50,126,46,112,55,13,35,
132,64,68,98,81,47,74,4,123,94,135,41,24,53,73,70,66,20,28,96,115,116,61,82,133,114,38,
33,23,71,0,14,29,77,18,121,15,122,25,26,62,52,117,131,75,44,6,12,76,5,100,2,67,27,
127,49,78,125,56,99,40,91,83,39,101,129,9,108,72,45,109,134,19,22,36,48,42,113,34,31,57,
37,17,79,128,105,80,7,63,59,69,43,1,11,111,88,86,107,8,97,51,92,21,58,16,119,32,95,110.0
118,67,1,16,25,110,65,31,81,48,115,114,109,8,58,83,66,37,103,111,27,100,97,6,2,129,99,
101,75,43,20,104,64,3,38,50,14,121,46,61,78,18,23,80,24,113,126,89,5,54,19,9,52,130,
40,106,76,22,15,73,98,91,102,69,74,135,84,57,124,30,7,42,29,82,21,108,45,93,0,4,59,
131,34,72,49,35,112,10,28,12,120,70,117,56,55,132,47,123,119,96,77,107,41,63,94,68,122,13,
134,128,17,105,11,133,79,90,51,85,33,88,87,127,95,60,39,86,53,32,116,62,26,125,36,92,71,44.0
24,124,84,41,134,33,0,13,125,68,10,83,6,18,112,129,60,14,9,78,59,47,94,114,100,1,43,
108,67,102,91,39,103,17,11,111,69,42,61,52,46,126,109,45,72,132,31,135,107,86,88,58,120,106,
64,56,131,30,63,93,97,95,104,82,105,115,71,85,48,75,55,127,65,66,54,20,87,130,44,110,8,
73,133,21,92,23,128,53,117,123,34,101,113,15,50,98,35,57,81,70,26,96,12,3,4,49,77,89,
116,7,62,119,90,79,38,40,27,118,122,51,16,76,121,28,22,99,80,19,2,36,29,74,5,37,25,32.0
134,61,88,56,33,44,13,113,49,90,122,94,60,95,22,80,125,52,42,92,83,76,11,58,106,126,15,
63,71,112,85,16,32,115,10,21,4,43,48,70,25,72,117,75,84,66,6,133,62,27,89,96,37,67,
93,7,47,103,38,99,123,2,119,65,114,3,55,98,130,41,132,5,45,31,109,14,8,28,116,17,57,
26,46,124,53,79,105,74,40,101,51,78,102,129,20,82,118,29,131,107,120,30,34,18,108,69,87,97,
36,91,81,111,68,39,127,104,135,9,128,73,77,64,24,54,19,86,50,23,1,0,100,35,110,59,12,121.0
123,70,15,129,43,30,53,17,84,77,81,55,76,50,48,91,113,19,4,6,3,80,7,8,10,97,100,
114,112,13,28,52,59,82,94,40,131,85,90,117,125,41,106,34,102,27,63,24,110,36,101,61,9,75,
118,38,130,11,128,120,104,21,58,121,105,64,26,103,47,49,12,66,54,68,89,74,83,78,25,65,1,
60,92,93,111,56,44,46,134,109,132,32,73,88,98,86,18,62,122,0,116,29,20,14,108,2,35,69,
115,16,31,45,87,23,96,119,57,124,42,99,135,79,72,67,5,133,127,71,95,51,22,33,126,107,37,39.0
100,113,2,127,47,37,20,67,69,124,60,62,99,23,38,50,22,117,72,26,129,132,90,81,121,84,17,
53,3,24,116,66,19,83,79,106,130,80,29,70,104,114,93,98,65,11,110,115,21,101,134,57,88,46,
112,74,61,78,68,39,86,0,108,49,7,89,54,128,44,8,103,27,52,10,111,64,96,25,48,122,31,
1,123,13,73,9,18,118,34,42,94,14,91,40,45,33,95,133,32,77,35,5,16,28,63,82,59,43,
15,102,41,58,125,71,36,109,131,12,55,119,51,56,92,107,30,126,85,97,120,6,75,135,4,87,105,76.0
125,128,110,55,25,30,82,75,53,88,132,106,72,123,3,102,83,22,37,129,31,78,62,34,96,92,126,
9,71,59,56,100,4,94,11,111,13,93,26,135,8,105,41,79,108,23,91,16,49,42,66,43,80,131,
85,121,38,84,18,77,120,14,69,1,45,5,20,97,0,17,36,21,32,57,117,65,33,95,39,116,107,
64,24,47,115,73,87,119,27,109,12,122,28,58,103,76,90,6,89,46,99,74,133,118,67,134,114,44,
104,86,113,63,40,68,48,19,51,70,101,81,52,15,50,35,124,112,10,61,54,7,98,127,2,29,130,60.0
95,80,62,76,134,24,17,65,122,88,81,105,1,106,39,31,12,96,126,32,90,78,116,5,22,38,115,
53,92,103,54,4,57,37,77,45,93,130,120,71,66,6,27,44,3,60,20,83,129,48,16,101,72,123,
109,15,124,36,23,59,69,41,75,9,46,102,64,108,114,50,128,30,63,118,26,132,21,13,94,131,119,
28,55,47,112,91,25,52,98,79,51,70,11,14,117,34,107,29,97,104,10,99,82,68,67,73,42,58,
110,7,125,2,89,49,85,19,121,100,86,133,8,127,74,84,18,113,56,43,135,61,87,35,111,33,0,40.0
