22,13,21,33,16,12,,,,
31,26,23,27,15,8,,,,
6,30,5,4,17,24,,,,
2,18,11,3,20,10,,,,
28,25,9,1,0,7,14.0,32.0,19.0,29.0
16,22,23,20,5,14,,,,
33,27,25,2,9,18,,,,
32,26,31,12,11,4,,,,
21,30,6,3,7,29,,,,
10,15,19,13,24,8,17.0,28.0,0.0,1.0
21,1,28,5,16,19,,,,
6,32,20,2,23,11,,,,
0,3,10,33,27,25,,,,
22,29,31,24,9,30,,,,
13,18,8,14,7,17,15.0,26.0,4.0,12.0
8,11,27,6,25,4,,,,
3,2,28,10,31,12,,,,
32,1,26,13,19,7,,,,
30,18,9,24,0,22,,,,
23,29,14,21,17,20,5.0,16.0,15.0,33.0
4,31,27,22,29,5,,,,
21,14,25,24,6,20,,,,
7,12,26,11,9,16,,,,
17,33,2,15,30,18,,,,
3,28,0,1,13,10,19.0,8.0,32.0,23.0
15,23,29,8,10,32,,,,
0,26,5,28,14,24,,,,
16,22,1,20,3,25,,,,
11,13,12,30,7,21,,,,
17,18,33,19,9,6,4.0,2.0,31.0,27.0
7,28,15,24,12,4,,,,
13,23,0,22,33,9,,,,
20,17,30,1,27,3,,,,
29,10,6,26,8,14,,,,
18,5,25,11,21,19,32.0,31.0,2.0,16.0
26,2,30,20,17,29,,,,
5,11,13,28,15,22,,,,
24,27,10,18,7,12,,,,
21,33,1,16,19,8,,,,
25,3,23,32,31,4,6.0,14.0,9.0,0.0
1,28,18,30,12,31,,,,
25,3,19,32,23,4,,,,
16,6,33,24,7,0,,,,
10,26,8,21,13,20,,,,
22,27,15,11,17,14,29.0,5.0,9.0,2.0
12,6,26,14,23,17,,,,
28,9,13,24,7,27,,,,
11,2,1,25,31,32,,,,
30,19,5,15,33,16,,,,
10,0,20,3,21,4,8.0,18.0,22.0,29.0
