15,47,44,75,12,76,18,39,17,7,5,6,9,85,80,55,56,37,1
71,33,86,79,28,66,25,29,22,87,52,64,4,68,70,45,53,26,69
31,57,8,72,49,91,90,89,61,24,30,13,63,60,88,74,19,38,84
54,32,16,51,78,11,40,82,83,92,65,81,41,14,27,93,20,46,67
35,62,2,59,23,58,43,10,94,73,21,77,42,3,48,34,36,50,0
16,78,65,40,50,1,3,26,35,54,8,56,4,27,80,31,47,9,73
62,48,11,90,84,38,14,42,29,19,82,0,46,87,25,92,53,64,59
83,37,49,67,17,5,15,55,69,58,93,22,61,63,66,71,34,39,28
44,89,33,51,18,74,41,60,12,32,79,24,81,23,10,13,57,68,45
91,36,30,20,43,88,86,72,94,7,75,21,76,2,70,85,52,6,77
91,29,52,70,94,86,10,54,71,35,12,93,13,64,42,2,44,3,78
14,23,25,6,87,30,38,45,66,48,18,4,65,9,57,79,72,85,55
82,53,34,31,37,17,15,60,41,69,77,5,56,80,11,47,24,90,67
8,33,51,28,61,19,81,74,68,83,43,21,16,32,89,46,84,76,1
88,7,73,50,75,92,36,58,40,62,0,27,49,59,22,20,63,39,26
29,93,78,3,69,10,37,6,55,61,38,92,82,0,25,94,33,4,47
83,40,72,49,34,11,15,70,21,46,81,87,23,84,67,75,48,56,30
54,79,73,64,51,59,28,74,90,13,71,58,17,42,41,31,85,5,86
26,9,36,89,12,14,24,66,77,8,53,27,88,60,32,43,57,7,22
62,20,2,63,18,1,52,45,35,65,50,39,16,19,91,44,68,76,80
21,78,91,54,61,40,50,45,14,1,76,44,18,47,56,57,84,26,4
94,88,92,58,75,72,6,8,70,93,73,33,82,48,12,55,22,74,16
19,2,36,77,29,24,62,9,5,39,53,25,32,37,87,68,11,28,80
83,69,38,23,34,67,71,66,89,41,90,51,85,20,3,65,30,35,31
49,42,46,64,81,52,59,79,63,7,10,0,13,15,86,43,60,27,17
25,6,67,16,62,34,61,74,11,3,51,46,28,39,78,77,44,26,21
17,45,73,53,47,87,38,43,64,86,71,24,33,59,48,42,37,23,1
27,40,88,56,81,84,93,66,90,50,65,68,54,85,12,7,55,8,0
19,57,94,2,14,30,63,9,76,15,31,10,80,83,41,36,4,89,58
92,91,18,13,32,72,49,20,35,70,79,29,60,82,69,52,22,5,75
19,10,60,38,86,61,11,4,84,13,88,92,12,59,75,87,21,36,54
71,9,56,79,18,66,6,47,0,25,30,29,93,14,2,85,94,16,53
73,68,91,72,49,42,35,65,15,8,3,5,81,52,77,31,51,67,26
27,41,64,24,33,62,43,37,74,48,22,23,83,32,57,80,45,39,40
89,7,17,1,44,63,78,46,55,76,90,34,69,50,28,70,82,20,58
24,75,88,22,55,31,10,14,2,20,25,58,80,1,61,19,0,68,86
82,16,18,93,53,57,45,73,35,74,56,13,32,60,48,30,36,91,33
65,11,51,27,4,83,23,9,37,47,28,40,71,66,63,15,5,17,67
78,89,49,94,46,42,59,34,6,84,62,64,26,81,41,52,69,7,44
21,70,38,92,8,85,79,76,12,29,3,39,50,77,87,43,54,90,72
11,61,52,65,88,57,23,59,46,85,31,63,5,1,20,78,51,0,90
9,82,42,36,27,18,80,50,26,40,25,91,44,75,53,3,73,84,38
4,92,6,37,17,67,72,55,47,68,79,77,12,54,30,81,2,10,21
13,14,76,89,69,87,83,24,94,56,60,48,64,71,29,35,49,22,45
86,34,8,7,62,70,66,33,74,16,41,32,28,93,43,58,19,15,39
13,81,37,63,61,12,17,50,90,32,93,30,27,38,5,73,54,55,65
71,28,31,15,67,6,84,14,46,39,26,74,72,44,52,51,4,3,9
68,2,25,21,19,78,56,60,64,8,53,80,20,77,49,43,69,59,36
23,91,34,75,35,58,47,33,45,0,42,7,40,24,70,1,62,29,88
10,18,89,48,94,66,41,22,11,79,76,87,83,92,57,16,85,82,86
