13,11,10,22,2,,
8,6,17,26,4,,
24,12,9,1,23,,
7,14,3,18,0,,
21,15,5,25,16,19.0,20.0
26,24,16,12,2,,
3,5,10,8,11,,
20,1,21,6,19,,
15,7,25,22,13,,
0,17,9,23,4,18.0,14.0
24,17,25,21,9,,
0,18,11,13,15,,
8,7,26,10,23,,
20,12,22,16,2,,
19,6,14,4,5,3.0,1.0
12,21,9,3,26,,
2,13,24,0,6,,
20,23,17,18,4,,
25,16,15,22,11,,
7,10,1,14,8,5.0,19.0
4,16,11,5,24,,
12,26,7,22,18,,
15,19,1,13,10,,
3,20,0,23,17,,
8,21,14,2,25,6.0,9.0
12,15,6,19,20,,
17,2,8,3,21,,
11,4,13,0,23,,
5,14,16,7,25,,
1,26,24,10,9,18.0,22.0
10,1,13,23,7,,
0,6,8,14,12,,
9,24,19,3,26,,
2,16,20,4,17,,
21,5,11,18,22,25.0,15.0
20,18,5,10,19,,
12,25,15,7,21,,
11,13,1,26,16,,
8,17,3,23,22,,
4,6,14,9,24,2.0,0.0
23,21,24,1,22,,
3,4,16,18,25,,
26,7,0,10,19,,
12,8,13,20,15,,
11,17,14,5,9,6.0,2.0
19,26,2,18,24,,
7,14,22,11,25,,
0,10,15,3,5,,
4,21,12,20,1,,
13,8,17,16,9,23.0,6.0
