12,13,26,36,25,18,22,33
14,38,2,34,24,27,3,16
29,7,19,1,37,9,30,15
17,20,8,6,5,21,4,39
0,28,11,35,23,10,31,32
31,22,26,5,29,28,1,32
36,14,10,23,34,2,18,27
0,15,9,19,37,16,20,12
11,35,38,4,33,25,17,21
6,3,7,30,39,13,24,8
7,38,16,1,30,20,3,34
13,28,5,6,29,32,2,23
10,39,33,18,31,11,0,19
14,27,25,9,21,37,24,22
17,35,36,8,15,26,4,12
15,38,25,6,30,8,34,19
9,2,12,26,32,17,39,5
13,22,27,20,35,29,36,24
16,3,4,11,10,23,31,21
1,33,7,18,37,0,28,14
2,1,14,35,27,34,32,38
0,25,29,26,17,20,5,31
8,33,4,15,16,19,21,36
39,28,10,13,7,6,18,24
37,11,3,22,30,23,12,9
4,25,10,31,20,36,29,24
17,0,12,37,8,33,13,2
5,22,15,6,9,26,16,35
21,34,14,27,32,23,1,28
3,11,30,7,18,39,19,38
0,24,20,34,17,32,13,39
33,12,15,2,25,8,30,4
7,23,29,16,27,9,22,37
18,1,11,38,3,31,35,10
6,36,14,26,5,28,21,19
20,2,21,25,5,37,6,24
13,30,36,14,33,17,15,11
18,39,26,4,22,27,34,38
9,10,23,7,32,28,12,29
31,16,0,1,19,8,3,35
35,5,17,13,8,19,33,1
16,15,12,37,28,11,3,10
23,20,21,34,32,24,0,30
9,14,26,39,29,22,6,18
2,4,27,25,36,31,7,38
32,22,28,35,20,29,38,26
11,9,3,23,17,21,25,6
14,37,15,18,7,34,33,12
13,2,1,39,31,27,36,8
30,19,24,5,4,16,10,0
