49,52,5,18,83,86,101,17,94,33,12,78,79,47,89,9,15,7,37,6,85,,
70,53,1,84,66,69,57,28,90,25,55,100,29,64,16,39,71,22,75,45,4,,
72,88,44,80,105,26,99,31,68,8,63,106,91,76,34,61,104,74,24,30,13,,
40,60,56,102,87,19,38,103,54,32,51,92,11,96,97,36,65,95,41,14,27,,
50,81,20,46,82,67,35,62,2,59,23,58,43,10,0,73,21,77,42,98,3,93.0,48.0
78,98,41,44,40,67,99,18,86,62,4,46,105,38,29,8,102,33,84,26,1,,
31,11,0,89,34,85,50,3,35,64,28,16,93,52,97,27,47,58,37,101,72,,
91,92,9,83,73,51,6,104,69,77,14,49,59,19,63,39,21,25,56,61,55,,
87,80,53,95,22,106,88,42,17,5,15,79,48,71,66,70,54,94,2,96,90,,
60,65,12,32,103,74,24,100,81,23,10,13,82,57,68,45,7,36,30,20,43,76.0,75.0
25,47,103,10,33,54,66,67,98,64,29,30,4,13,52,60,97,35,53,24,23,,
81,6,12,65,18,77,5,71,2,84,3,99,14,44,38,86,106,69,105,90,72,,
9,56,68,45,57,55,19,102,93,48,42,61,34,31,37,17,15,28,41,76,88,,
70,80,74,85,11,8,51,94,83,91,95,43,21,16,32,78,89,101,46,96,87,,
79,1,82,100,7,73,50,75,104,36,92,58,40,62,0,27,49,59,22,20,63,39.0,26.0
69,25,61,105,98,58,29,75,34,90,66,89,40,82,70,106,64,38,0,46,83,,
103,85,45,35,3,47,10,14,49,37,12,48,54,6,51,59,55,94,93,104,4,,
56,73,95,65,41,11,28,15,68,21,33,67,23,77,31,39,97,88,74,52,17,,
30,72,101,86,84,79,42,36,71,44,13,96,80,5,91,50,26,9,19,76,78,,
24,102,100,8,53,27,16,60,32,43,57,7,92,22,81,62,20,99,87,2,63,18.0,1.0
34,55,0,18,91,1,96,66,72,82,95,11,105,43,68,88,8,58,57,67,14,,
9,94,76,90,21,45,39,44,62,103,93,33,48,104,17,6,47,70,77,78,50,,
4,13,69,54,75,26,85,38,40,27,53,56,83,60,12,73,22,92,16,19,2,,
61,36,29,24,5,71,25,32,37,99,28,100,84,23,98,89,81,15,41,10,51,,
106,80,20,74,86,3,65,30,35,31,49,42,46,97,87,64,101,52,59,79,102,63.0,7.0
21,54,84,102,26,7,73,28,6,11,16,25,74,29,42,37,69,80,88,75,53,,
101,93,91,46,47,72,38,87,3,68,48,55,30,34,103,5,44,33,97,61,17,,
94,39,56,40,51,67,79,96,105,65,24,78,85,50,99,60,23,45,1,27,95,,
77,2,0,43,62,35,86,89,59,90,12,71,76,8,64,19,57,66,14,63,9,,
70,100,15,31,10,32,20,41,36,106,4,49,98,104,83,58,22,81,52,18,92,13.0,82.0
3,43,68,21,105,69,13,49,70,30,66,34,6,11,53,63,19,102,26,56,52,,
73,59,15,17,12,28,78,62,4,61,10,58,103,97,36,81,54,1,47,89,25,,
83,104,65,106,90,9,24,55,93,91,18,60,38,8,0,29,20,14,64,94,2,,
74,35,16,31,101,87,92,75,42,84,72,67,5,99,71,51,86,27,41,33,37,,
98,48,22,23,46,96,32,82,57,79,44,45,76,80,39,77,40,95,88,50,100,85.0,7.0
86,53,22,11,61,2,20,94,66,63,77,96,105,65,89,71,24,99,10,46,0,,
73,19,74,42,90,101,25,87,75,57,106,1,84,67,85,9,68,80,48,93,50,,
60,14,27,40,45,33,31,23,32,13,35,78,16,28,18,43,15,97,88,58,72,,
92,36,83,55,51,56,30,82,4,95,37,47,102,98,49,5,17,59,34,6,103,,
62,64,26,100,41,52,69,81,7,91,44,21,70,38,54,8,104,79,76,12,29,3.0,39.0
47,20,11,23,81,18,36,99,53,5,80,13,30,102,59,16,1,94,86,95,65,,
46,21,31,33,82,73,0,90,58,9,103,105,27,63,38,28,43,72,26,78,25,,
66,67,74,68,42,3,101,57,44,55,98,87,40,69,4,89,19,51,6,37,17,,
52,15,50,93,97,61,54,104,71,12,75,91,2,10,88,77,14,100,79,84,32,,
24,39,106,56,60,48,64,96,29,35,49,85,92,76,22,45,41,34,8,83,7,62.0,70.0
27,32,39,69,5,94,53,91,41,57,65,47,89,38,30,37,101,59,12,86,17,,
23,80,72,20,60,63,31,78,26,67,79,13,64,97,93,21,28,100,46,25,50,,
44,52,51,15,6,11,14,54,34,96,71,95,98,82,75,4,3,55,9,87,83,,
104,106,92,68,2,49,19,73,84,8,77,74,99,56,43,90,36,61,16,35,58,,
33,45,0,42,7,81,40,24,88,70,1,62,29,22,10,18,103,105,48,85,76,102.0,66.0
