21,30,33,37,2,16,29,20,8,,
38,22,19,13,44,26,41,24,46,,
12,27,42,39,18,14,43,45,6,,
3,25,9,7,32,1,31,4,15,,
17,5,36,40,0,34,28,11,35,23.0,10.0
31,19,20,14,11,36,1,17,37,,
40,39,29,13,43,10,30,34,27,,
44,5,33,28,42,9,22,8,32,,
38,46,23,2,35,25,41,0,15,,
18,16,26,12,24,4,45,21,6,3.0,7.0
44,35,43,0,11,14,31,3,16,,
7,20,28,21,25,13,27,23,29,,
4,1,18,37,24,34,6,5,40,,
39,2,33,10,30,12,42,38,36,,
32,19,26,9,22,17,45,41,15,8.0,46.0
3,22,9,15,14,6,30,19,46,,
24,25,29,28,26,39,42,31,41,,
38,12,8,4,2,44,17,20,43,,
34,5,13,0,23,11,18,40,32,,
45,16,27,35,36,10,21,1,33,37.0,7.0
45,14,13,35,34,20,38,10,41,,
2,16,24,36,1,17,32,29,39,,
28,31,0,37,42,26,5,25,8,,
19,40,33,27,4,15,43,21,18,,
46,7,6,44,11,3,22,30,23,12.0,9.0
39,45,40,35,4,20,10,18,34,,
28,19,31,17,22,23,24,12,0,,
8,42,32,13,2,5,43,15,6,,
9,26,37,16,46,21,25,33,29,,
38,14,27,41,1,3,11,30,44,36.0,7.0
14,20,23,30,0,38,37,19,39,,
26,17,42,28,34,41,43,2,25,,
40,13,8,10,31,16,9,44,6,,
27,46,29,32,5,15,4,12,33,,
45,36,7,3,24,22,35,18,1,11.0,21.0
42,26,6,14,39,15,8,24,37,,
22,13,38,16,12,40,43,11,34,,
20,18,29,2,17,9,5,25,31,,
30,4,36,19,1,27,3,33,21,,
32,46,44,45,0,35,41,10,23,7.0,28.0
39,24,13,0,11,43,1,29,15,,
42,3,20,5,12,26,8,17,40,,
35,14,21,23,28,16,19,10,34,,
30,33,45,41,9,32,44,6,22,,
18,2,37,4,27,46,25,36,31,7.0,38.0
29,11,33,35,32,44,3,25,12,,
38,31,39,21,22,37,36,28,17,,
10,9,42,26,43,41,2,6,14,,
20,46,15,18,23,7,13,27,34,,
1,0,8,45,40,30,19,24,5,4.0,16.0
