26,27,13,22,30,17,7,
12,34,16,24,28,31,15,
33,35,8,6,5,4,21,
29,2,18,11,3,23,20,
10,0,25,9,1,32,14,19.0
16,31,26,22,5,14,35,
30,28,2,9,29,34,18,
27,12,11,20,4,23,33,
21,6,3,7,32,25,10,
15,19,13,24,8,17,0,1.0
30,34,1,19,25,3,16,
5,6,23,35,27,22,2,
10,21,11,0,29,20,24,
31,28,33,9,32,13,18,
8,14,7,17,15,26,4,12.0
31,11,2,27,12,6,24,
8,3,4,10,19,13,26,
34,16,1,29,32,7,5,
28,18,9,25,0,22,23,
35,14,21,17,30,20,15,33.0
4,29,14,1,0,22,5,
21,13,20,10,34,6,27,
8,7,11,31,26,12,23,
9,24,16,17,30,25,2,
15,19,18,3,28,35,33,32.0
16,23,8,10,22,33,25,
34,0,24,5,30,26,15,
14,28,35,1,3,20,11,
13,12,32,7,21,17,18,
29,19,9,6,4,2,31,27.0
7,31,15,27,12,4,13,
24,0,22,35,9,20,17,
33,1,29,3,32,10,6,
26,8,23,14,18,5,25,
11,30,28,21,19,34,2,16.0
27,2,6,28,18,11,25,
17,33,5,31,15,21,34,
20,13,24,29,32,10,7,
12,22,26,0,1,16,19,
8,30,3,23,35,4,14,9.0
14,3,18,32,23,1,24,
26,9,16,12,29,25,5,
35,31,19,4,30,6,2,
33,7,0,10,34,8,21,
13,20,22,11,27,28,15,17.0
35,9,18,25,26,31,27,
6,21,23,17,14,7,3,
12,11,13,2,1,32,34,
28,8,19,30,20,5,15,
33,16,24,10,0,4,22,29.0
