26,8,55,38,43,28,22,50,45,24,59,1,54,,,
27,62,25,17,49,19,34,60,18,32,33,9,48,,,
7,16,41,10,2,51,29,37,30,39,31,65,44,,,
5,21,13,66,23,63,58,15,64,40,36,61,3,,,
52,47,56,6,4,67,20,42,57,12,53,35,14,0.0,46.0,11.0
42,36,26,5,64,62,55,17,52,29,67,14,44,,,
58,22,49,33,41,18,16,48,30,45,31,4,20,,,
50,35,54,60,40,51,11,61,65,12,2,39,21,,,
6,43,0,3,13,1,53,24,59,46,63,28,7,,,
25,56,47,15,66,10,34,32,8,38,19,57,37,27.0,23.0,9.0
43,36,12,3,30,24,65,62,44,63,2,47,28,,,
48,31,14,0,53,39,57,46,25,11,7,13,15,,,
51,42,5,41,50,52,38,29,21,16,32,27,35,,,
45,8,67,49,59,23,26,20,55,33,61,58,17,,,
66,4,1,18,56,19,64,22,6,37,54,9,60,34.0,40.0,10.0
42,64,14,22,15,6,59,45,8,5,34,0,31,,,
46,41,56,38,17,25,43,23,54,65,47,66,3,,,
1,18,7,57,60,35,19,4,12,16,58,20,11,,,
24,62,9,32,29,39,53,21,27,67,51,10,63,,,
44,40,26,36,28,2,50,49,52,33,61,48,30,37.0,13.0,55.0
61,5,58,64,49,19,12,2,26,66,47,62,45,,,
21,25,48,16,38,28,24,44,41,34,55,1,18,,,
23,35,29,20,46,60,67,7,10,0,13,15,42,,,
33,27,56,22,43,51,32,57,6,39,52,3,50,,,
63,53,9,14,17,40,31,36,8,11,65,4,30,54.0,59.0,37.0
62,35,10,48,42,21,25,1,57,41,33,38,9,,,
46,67,2,4,19,60,61,23,58,63,36,66,56,,,
17,20,65,3,6,15,28,64,29,27,51,49,53,,,
55,11,52,37,26,8,50,16,22,7,39,0,18,,,
30,47,14,5,44,12,32,31,40,43,54,13,24,59.0,45.0,34.0
58,65,19,54,34,31,26,55,0,11,16,35,8,,,
30,46,32,7,17,56,53,43,45,49,39,50,38,,,
23,63,41,27,51,66,5,28,62,52,20,10,44,,,
24,36,67,3,22,14,29,4,57,12,64,25,2,,,
18,61,60,13,40,42,37,48,9,1,6,59,21,47.0,15.0,33.0
25,24,38,64,39,67,48,27,1,59,40,60,57,,,
32,28,53,66,0,19,52,44,5,34,10,17,7,,,
45,33,30,63,6,22,42,37,49,36,51,62,65,,,
13,23,26,8,54,4,35,15,20,14,46,61,56,,,
9,41,43,29,12,16,47,58,11,3,55,21,18,50.0,2.0,31.0
53,4,22,30,46,33,29,58,51,49,21,37,0,,,
17,50,18,3,12,26,31,38,39,43,7,60,45,,,
13,1,10,27,61,62,32,40,36,44,15,64,25,,,
8,47,66,11,35,65,2,5,28,6,24,56,23,,,
34,20,41,52,55,57,54,14,63,16,67,48,59,19.0,42.0,9.0
35,8,13,4,26,44,37,53,51,39,3,10,47,,,
20,5,31,28,45,24,6,2,9,62,67,12,30,,,
40,55,54,25,57,38,21,59,22,33,23,1,0,,,
43,56,18,52,27,7,65,11,14,58,36,16,63,,,
32,17,48,60,49,64,42,41,19,66,61,34,50,29.0,46.0,15.0
