55,24,19,45,8,36,54,60,28,7,59,10,,,,
48,32,30,33,2,52,49,26,22,25,47,37,,,,
9,5,17,16,29,21,13,34,23,43,15,50,,,,
44,3,40,6,63,51,20,61,12,53,14,0,,,,
27,18,46,11,38,35,62,39,57,1,56,31,58.0,42.0,41.0,4.0
20,35,31,53,29,30,49,16,59,51,57,62,,,,
5,11,12,2,50,6,21,44,48,13,17,1,,,,
33,63,24,60,14,43,28,42,54,52,45,61,,,,
46,10,56,32,8,38,19,37,27,36,55,39,,,,
3,9,22,40,58,26,7,23,34,47,25,4,0.0,15.0,18.0,41.0
36,15,24,14,2,54,13,56,41,25,42,7,,,,
45,59,30,29,28,39,27,38,31,58,21,16,,,,
0,3,51,55,53,5,35,11,47,23,57,20,,,,
44,33,49,46,17,52,4,1,18,61,48,22,,,,
6,37,9,34,40,10,12,8,50,63,60,43,32.0,19.0,62.0,26.0
41,14,5,63,0,25,8,53,17,6,23,43,,,,
51,39,15,22,34,52,3,1,56,7,47,38,,,,
19,44,46,4,12,57,58,42,20,55,24,49,,,,
9,54,29,21,62,45,10,40,26,36,28,2,,,,
33,48,30,37,13,31,59,11,18,50,60,32,61.0,16.0,27.0,35.0
5,41,50,12,33,38,2,20,19,29,35,16,,,,
26,18,24,42,45,25,23,46,54,7,62,47,,,,
10,0,13,60,34,63,28,1,58,57,22,52,,,,
56,6,44,3,49,9,14,17,40,31,59,53,,,,
11,4,61,32,39,55,37,8,51,43,27,36,15.0,30.0,21.0,48.0
57,33,29,36,25,10,27,42,21,23,4,19,,,,
56,52,50,2,35,53,17,28,3,6,15,1,,,,
51,48,46,20,37,58,49,11,41,60,8,39,,,,
55,22,7,0,18,62,61,54,44,12,32,59,,,,
40,43,13,24,45,34,5,63,47,38,9,31,26.0,14.0,30.0,16.0
30,8,45,0,16,31,23,53,26,28,17,61,,,,
44,35,59,38,19,51,60,52,39,48,20,10,,,,
32,24,41,34,43,62,22,27,14,29,54,58,,,,
49,25,2,18,55,46,13,40,63,37,9,1,,,,
6,21,47,5,15,57,4,50,12,33,56,11,36.0,7.0,3.0,42.0
52,63,50,56,38,51,53,42,0,45,34,5,,,,
10,1,24,43,48,25,6,60,28,58,40,39,,,,
7,49,13,23,36,46,22,32,26,8,62,35,,,,
15,20,14,47,44,55,41,54,12,16,11,3,,,,
21,18,61,2,31,17,29,9,37,57,30,59,33.0,19.0,4.0,27.0
22,13,36,21,4,12,26,30,18,27,51,35,,,,
1,10,43,17,47,0,3,63,57,61,29,40,,,,
15,54,62,25,44,8,37,45,33,11,49,2,,,,
5,28,59,24,50,23,52,20,60,14,16,53,,,,
48,19,42,38,55,56,7,34,9,32,31,6,41.0,46.0,58.0,39.0
8,45,4,3,26,57,47,10,13,24,5,54,,,,
56,9,31,40,61,25,20,60,44,33,21,35,,,,
28,30,39,43,22,23,12,6,1,0,37,18,,,,
59,27,7,63,11,14,49,36,16,53,32,17,,,,
51,42,41,19,58,34,62,29,2,38,46,52,48.0,15.0,50.0,55.0
