26,23,2,52,19,48,16,9,28,45,,,
34,21,51,13,7,30,22,24,33,8,,,
43,32,3,29,47,49,6,46,37,20,,,
10,25,12,14,0,27,18,11,50,35,,,
39,44,1,31,42,41,4,15,17,40,38.0,5.0,36.0
40,50,35,17,30,31,28,48,37,33,,,
11,1,13,47,24,32,14,21,38,20,,,
44,10,2,51,8,6,19,36,5,27,,,
42,29,39,3,9,22,46,52,7,23,,,
34,25,4,0,15,18,41,45,16,26,12.0,43.0,49.0
39,31,15,27,16,24,2,28,29,13,,,
47,7,52,14,0,21,3,30,42,45,,,
23,11,36,20,33,51,5,25,35,17,,,
44,4,1,18,49,38,22,6,37,9,,,
34,40,10,12,8,50,48,43,32,19,26.0,46.0,41.0
28,5,6,22,25,26,3,44,19,15,,,
45,9,14,0,49,52,23,42,24,47,,,
50,34,12,8,4,2,51,17,20,48,,,
29,38,30,13,31,39,11,18,40,32,,,
41,16,27,35,36,43,10,21,1,33,46.0,37.0,7.0
16,2,24,52,26,41,5,23,20,19,,,
28,13,38,1,10,33,12,35,25,0,,,
34,6,22,50,43,3,48,44,47,29,,,
49,14,17,31,40,11,4,46,32,39,,,
51,37,8,27,36,15,30,21,18,9,7.0,42.0,45.0
51,34,50,41,4,23,10,20,17,40,,,
37,52,19,38,28,39,32,18,12,0,,,
8,48,22,24,13,2,5,35,15,6,,,
9,31,26,42,49,16,7,21,25,33,,,
29,47,14,27,46,1,3,43,11,30,45.0,44.0,36.0
17,34,0,45,26,19,20,47,44,31,,,
14,43,30,39,32,23,40,25,37,2,,,
49,29,28,13,8,10,48,16,9,50,,,
6,27,52,5,15,38,4,12,33,51,,,
36,7,3,42,24,46,41,22,35,18,1.0,11.0,21.0
51,1,6,47,50,8,20,45,48,13,,,
44,34,14,22,24,26,29,46,12,16,,,
15,11,39,43,31,18,37,2,17,9,,,
5,25,30,42,4,38,19,40,27,3,,,
33,49,36,21,32,28,52,7,0,35,41.0,10.0,23.0
10,1,46,13,50,33,0,17,30,29,,,
24,36,8,12,15,11,3,28,5,42,,,
21,47,51,48,26,20,23,25,44,14,,,
40,16,35,19,49,45,7,34,9,32,,,
31,6,41,39,22,52,18,2,43,37,4.0,27.0,38.0
8,3,28,50,10,47,21,40,5,48,,,
45,9,24,37,20,35,39,36,26,33,,,
23,25,22,12,6,1,30,31,4,18,,,
0,52,49,51,11,14,16,43,32,17,,,
42,41,19,34,29,2,38,46,15,7,13.0,44.0,27.0
