17,34,12,21,24,16,7
29,13,15,27,30,33,31
22,8,6,5,4,26,28
2,18,11,3,23,20,10
0,25,9,1,32,14,19
16,23,30,21,5,14,34
29,27,2,9,28,33,18
26,12,11,20,4,22,32
6,3,7,31,25,10,15
19,13,24,8,17,0,1
21,1,28,5,16,19,6
33,20,2,23,11,0,3
10,34,27,25,22,29,32
24,9,30,13,18,8,14
7,17,15,31,26,4,12
13,10,2,25,11,6,26
8,3,4,29,12,31,16
34,1,28,19,7,5,27
18,9,24,0,22,23,32
14,21,17,30,20,15,33
0,4,31,23,26,1,10
5,20,6,24,8,7,11
25,14,29,12,21,9,22
16,17,27,2,15,19,18
3,28,13,30,34,33,32
14,22,8,10,24,32,30
0,15,5,29,16,20,26
25,23,1,3,34,11,13
12,33,7,21,17,18,28
19,9,6,4,2,31,27
7,29,15,24,12,4,13
23,0,22,34,9,20,17
32,1,27,3,30,10,6
26,8,14,18,5,25,11
28,21,19,31,33,2,16
15,2,24,27,31,21,29
30,5,13,11,18,17,20
25,28,10,7,12,22,0
1,16,19,8,26,3,23
33,32,4,6,14,9,34
16,25,1,19,12,31,18
3,5,14,33,34,24,29
4,23,30,6,2,26,7
0,10,32,8,21,13,20
22,11,27,28,15,17,9
12,6,31,14,25,17,33
9,13,28,7,30,11,2
1,27,18,23,8,19,34
5,15,32,16,24,10,0
26,20,3,21,4,22,29
