29,2,33,19,13,16,8,25,38,
22,21,45,30,39,12,41,42,20,
36,18,14,40,6,3,44,7,27,
1,24,26,43,9,4,15,17,5,
37,0,34,28,11,35,23,10,31,32.0
13,17,1,34,33,28,14,19,40,
11,35,36,20,10,27,31,37,41,
5,44,29,39,9,22,45,43,23,
2,32,25,38,0,15,18,16,26,
12,24,4,42,21,6,3,7,30,8.0
44,35,43,0,11,14,31,3,16,
7,20,28,21,25,13,27,23,29,
4,1,18,37,24,34,6,5,40,
39,2,33,10,30,12,42,38,36,
32,19,26,9,22,17,45,41,15,8.0
3,19,44,26,40,24,14,9,25,
28,22,15,6,39,29,38,12,8,
4,2,30,17,20,41,42,5,13,
0,23,11,31,18,34,32,43,16,
27,35,36,10,21,1,33,45,7,37.0
44,14,13,34,33,20,37,10,40,
2,16,24,35,1,17,31,26,38,
28,32,0,36,41,25,5,8,19,
39,29,27,4,15,42,21,18,45,
7,6,43,11,3,22,30,23,12,9.0
39,44,40,35,4,20,10,18,34,
28,19,31,17,22,23,24,12,0,
8,42,32,13,2,5,43,15,6,
9,26,37,16,45,21,25,33,29,
38,14,27,41,1,3,11,30,36,7.0
14,20,23,28,0,37,41,19,38,
26,17,32,27,34,40,42,2,25,
39,13,8,10,29,16,9,31,6,
45,30,5,15,43,4,12,33,44,
36,7,3,24,22,35,18,1,11,21.0
20,24,6,14,38,15,8,37,26,
34,13,22,16,12,39,42,11,40,
18,25,2,17,9,5,29,36,4,
30,19,1,31,27,3,33,21,32,
45,43,44,0,35,41,10,23,7,28.0
24,11,1,12,32,40,15,13,17,
3,35,5,41,8,23,28,26,21,
14,20,34,39,16,19,10,33,29,
30,44,42,9,0,43,6,22,18,
2,37,4,27,45,25,36,31,7,38.0
29,11,33,35,32,43,3,25,12,
38,31,39,21,22,37,36,28,17,
10,9,41,26,42,40,2,6,14,
20,45,15,18,23,7,13,27,34,
1,0,8,44,30,19,24,5,4,16.0
