83,7,61,78,17,60,57,15,25,6,33,29,9,5,18,65,52,,,,
28,37,79,54,72,64,4,49,63,12,39,66,70,44,26,88,31,,,,
47,8,56,84,45,82,53,24,30,13,55,81,68,19,38,80,32,,,,
16,51,71,11,40,75,22,76,85,1,74,41,14,27,86,20,46,,,,
67,35,62,2,59,23,58,43,10,87,73,21,77,42,3,48,34,36.0,50.0,0.0,69.0
53,3,25,27,47,63,31,82,38,9,16,8,46,11,78,4,55,,,,
14,29,19,65,37,26,0,48,50,81,56,42,84,67,35,40,59,,,,
17,5,15,64,49,87,22,86,54,58,61,34,39,60,44,83,33,,,,
51,18,62,41,73,1,12,32,74,28,66,24,69,71,23,10,13,,,,
57,68,45,79,36,30,20,43,80,72,88,7,75,21,76,2,70,85.0,52.0,6.0,77.0
12,23,64,25,35,13,61,72,54,47,75,3,6,4,67,10,42,,,,
2,29,78,84,45,48,56,5,51,73,41,52,24,71,60,8,33,,,,
66,19,38,34,86,88,87,31,76,14,85,57,44,65,81,32,82,,,,
68,77,1,18,69,7,9,50,46,11,36,28,53,58,83,62,0,,,,
27,49,79,22,20,63,39,26,30,15,17,59,37,74,70,40,80,43.0,21.0,55.0,16.0
64,21,66,15,25,72,79,82,51,34,6,81,73,3,38,59,67,,,,
42,88,0,71,62,41,37,69,46,80,4,78,56,49,30,13,53,,,,
40,83,31,47,5,26,85,36,75,12,14,24,86,61,8,54,27,,,,
74,58,87,57,84,7,43,28,22,17,20,70,23,2,63,18,1,,,,
52,45,35,65,50,39,16,19,77,44,68,76,10,11,55,60,33,9.0,48.0,32.0,29.0
82,45,81,21,73,14,79,86,62,33,77,87,85,65,36,66,6,,,,
8,57,44,26,69,12,50,47,56,19,2,4,29,18,24,68,9,,,,
5,25,32,37,76,11,28,48,72,38,23,34,84,61,88,78,80,,,,
41,39,58,51,74,16,20,75,55,83,3,1,30,35,31,49,42,,,,
46,64,71,52,59,63,7,10,0,13,15,43,60,27,17,22,53,67.0,40.0,70.0,54.0
28,65,3,17,45,84,48,40,16,25,39,55,11,47,67,26,68,,,,
43,81,21,56,57,73,37,24,34,53,44,88,42,33,61,23,1,,,,
27,38,54,71,66,78,87,83,63,46,59,62,50,64,12,7,51,,,,
8,0,19,2,14,30,9,6,80,15,31,10,74,77,41,36,4,,,,
76,58,86,85,18,13,32,72,49,20,35,70,79,29,60,82,69,52.0,22.0,5.0,75.0
4,65,35,49,11,84,10,47,52,19,9,42,88,83,71,30,21,,,,
6,36,0,14,25,85,2,29,64,87,73,16,13,53,77,75,59,,,,
38,62,8,3,5,67,79,31,54,26,51,41,68,24,33,43,37,,,,
27,66,48,22,23,61,86,12,32,18,57,15,56,72,45,39,40,,,,
80,7,17,1,44,63,46,55,76,81,34,69,50,28,70,82,20,58.0,74.0,78.0,60.0
47,16,81,25,73,18,30,10,20,80,53,62,2,14,87,45,32,,,,
78,67,36,13,61,55,63,51,19,31,33,79,86,1,24,57,11,,,,
68,27,85,69,23,9,37,28,56,65,58,15,5,17,83,71,64,,,,
49,66,46,42,88,40,6,75,34,22,60,0,26,74,41,52,7,,,,
44,21,70,38,82,8,76,12,29,3,39,50,77,84,54,72,43,4.0,48.0,35.0,59.0
27,1,25,61,54,81,23,26,38,9,80,40,65,63,4,79,42,,,,
47,85,17,20,60,18,3,67,37,73,56,53,64,50,31,57,36,,,,
30,51,2,10,78,13,77,71,59,69,84,88,76,87,48,0,44,,,,
52,29,35,49,21,70,12,22,45,68,34,8,74,7,62,33,16,,,,
41,32,86,82,43,58,83,15,39,14,55,72,46,11,75,19,66,5.0,28.0,6.0,24.0
13,59,69,63,44,32,17,70,39,12,38,78,5,67,54,55,60,,,,
88,27,28,15,51,6,80,14,30,37,26,68,31,46,52,74,4,,,,
3,9,65,2,25,21,19,53,83,61,8,50,72,20,73,49,43,,,,
77,56,36,23,84,34,71,35,58,47,86,45,0,42,7,40,24,,,,
87,62,29,81,10,18,75,48,85,66,41,22,11,79,76,57,16,82.0,33.0,1.0,64.0
