24,27,30,25,14,12,19,37,
29,16,40,13,2,36,18,34,
3,22,7,26,1,38,9,39,
15,17,20,8,6,5,21,4,
33,0,28,11,35,23,10,31,32.0
23,25,1,29,34,5,31,14,
33,28,35,39,22,10,38,37,
2,27,32,0,15,18,9,19,
40,16,20,26,12,11,17,24,
4,36,21,6,3,7,30,8,13.0
32,39,7,16,1,35,29,3,
13,33,27,5,6,30,20,2,
31,10,40,34,18,23,11,0,
19,14,28,25,9,21,38,24,
22,17,36,37,8,15,26,4,12.0
22,29,26,6,15,8,35,19,
9,2,12,27,34,17,20,40,
5,13,30,39,31,36,24,37,
25,16,3,4,11,10,23,32,
21,1,33,7,18,38,0,28,14.0
36,14,2,1,20,27,37,35,
39,25,0,28,32,29,26,17,
5,8,34,4,15,24,16,19,
21,33,18,40,31,10,13,7,
6,38,11,3,22,30,23,12,9.0
4,26,10,35,20,37,31,24,
17,0,12,40,8,34,13,2,
5,22,15,6,9,28,16,36,
21,25,32,29,14,27,33,23,
1,3,11,30,7,18,39,19,38.0
28,33,23,25,36,8,2,17,
0,15,37,19,39,13,38,30,
20,12,31,32,4,7,29,35,
16,24,27,9,22,34,18,1,
11,21,3,10,40,6,5,14,26.0
14,18,25,8,15,6,11,35,
38,32,12,20,2,17,13,37,
5,19,26,24,22,40,30,4,
21,36,27,33,34,39,3,9,
10,23,7,28,29,31,16,0,1.0
12,5,15,32,16,8,1,34,
20,17,35,13,19,23,11,3,
10,24,21,29,28,33,37,0,
40,9,14,26,39,30,22,6,
18,2,4,27,25,36,31,7,38.0
36,22,32,11,17,33,29,25,
28,20,39,9,3,21,35,23,
31,6,14,38,15,18,7,26,
34,12,13,2,1,40,8,27,
37,30,19,24,5,4,16,10,0.0
