5,16,20,6,13,8
11,12,2,25,26,4
10,23,28,9,1,27
7,14,21,22,19,17
24,3,18,0,29,15
18,2,16,29,14,5
11,6,15,19,10,3
21,8,25,12,24,1
7,20,26,13,22,0
27,17,9,28,23,4
28,21,27,22,11,0
18,13,17,9,15,20
8,7,29,10,25,12
23,16,2,19,6,14
4,24,5,3,26,1
21,13,3,12,6,22
18,23,25,26,29,19
4,2,9,20,0,28
17,5,16,15,27,11
7,24,10,1,14,8
6,5,11,4,12,14
7,25,21,18,22,28
9,15,16,27,3,20
24,1,13,10,19,29
0,23,26,2,17,8
11,10,23,15,12,20
8,22,27,24,29,17
13,3,28,6,19,2
9,21,25,4,26,0
5,14,16,7,18,1
26,7,0,9,27,24
20,22,1,15,3,12
13,10,6,21,8,14
18,25,11,19,23,2
16,28,4,17,29,5
29,17,12,15,10,22
5,13,18,20,11,7
23,21,28,1,16,8
19,3,25,26,4,6
14,9,24,2,0,27
26,24,12,16,21,3
27,1,18,4,25,28
29,19,7,0,10,22
8,13,20,23,15,11
17,14,5,9,6,2
2,23,11,7,29,15
22,6,26,14,21,5
20,28,19,10,0,3
4,25,18,12,27,1
13,8,17,24,16,9
