40,24,19,51,8,37,44,57,28,7,60,10,49
32,30,33,2,59,50,26,22,25,48,53,9,5
17,16,29,21,13,34,23,43,15,47,36,45,3
55,6,64,52,20,62,12,54,14,0,27,18,46
11,38,35,63,39,61,1,56,31,58,42,41,4
5,29,55,56,33,16,49,35,31,51,18,14,4
41,50,48,46,59,63,11,12,2,53,21,20,6
30,44,0,54,13,17,1,57,24,45,43,28,60
58,42,15,52,10,62,32,8,38,19,37,27,36
61,39,3,9,22,40,64,26,7,23,34,47,25
41,49,39,24,55,2,28,59,31,14,47,45,36
3,46,25,7,13,15,44,5,35,64,56,30,11
29,63,42,21,16,0,27,38,60,58,51,23,62
20,48,33,53,61,17,57,4,1,18,19,52,22
6,37,54,9,34,40,10,12,8,50,26,32,43
42,14,5,35,0,25,8,57,17,6,23,41,59
45,15,22,34,56,3,1,61,7,51,38,19,46
53,4,12,54,63,43,20,60,24,52,9,58,29
39,21,27,47,10,44,40,26,36,28,2,62,49
33,48,30,37,13,31,64,55,11,18,50,16,32
5,24,29,61,19,46,2,25,58,50,12,48,34
16,20,33,44,1,18,28,26,52,38,7,21,23
49,10,0,13,15,47,35,63,45,22,41,53,6
55,42,3,60,9,14,17,40,31,64,56,11,4
30,32,39,54,62,37,57,8,51,43,59,27,36
58,33,29,36,25,10,27,50,21,23,4,19,48
46,51,2,35,54,17,28,3,6,15,1,52,41
57,20,37,59,53,11,42,61,8,49,56,22,7
39,0,18,63,62,55,44,12,32,60,40,43,13
24,45,34,5,64,47,38,9,31,26,14,30,16
32,38,35,26,8,0,17,30,44,39,62,31,19
16,27,64,53,45,61,54,23,28,55,41,51,20
10,34,24,43,63,46,3,22,14,29,57,59,52
25,2,18,58,49,13,40,42,37,48,9,1,6
21,47,5,15,60,4,50,12,33,56,11,36,7
53,64,51,58,38,52,54,42,0,45,34,5,10
1,24,43,48,25,6,61,28,60,40,39,7,49
13,23,36,46,22,32,26,8,63,35,15,20,14
47,44,56,41,55,12,16,11,3,21,18,50,62
2,31,17,29,9,37,57,30,59,33,19,4,27
18,21,26,27,39,32,51,4,17,29,30,36,44
53,12,22,47,31,49,37,33,7,46,43,13,1
10,56,57,0,3,62,55,61,15,54,25,8,45
40,11,35,60,2,5,28,6,24,50,23,63,20
41,52,14,58,16,64,48,59,19,42,38,34,9
8,45,4,3,26,60,47,10,13,24,5,53,59
9,31,40,64,25,20,51,44,33,21,35,28,30
39,43,22,23,12,6,1,0,37,18,55,27,7
58,11,14,62,36,16,56,32,17,63,54,49,57
42,41,19,61,34,50,29,2,38,46,52,48,15
